id,company,website,location,industry,size_hint,why_pain,evidence,decision_maker_role,contact_channel,outreach_angle,personalization,priority,region_bucket,batch
1,Rejuvie Aesthetic & Dermatology,https://rejuvieclinic.com,"Kuta / Sunset Road area, Bali","Aesthetic & dermatology clinic (botox, fillers, skin)","Single aesthetic clinic, part of Rejuvie group (sister dental clinics in Kuta & Sanur)","Public review describes contacting the clinic via WhatsApp to book, getting a few replies then 'nothing, radio silence' - reviewer explicitly says 'Clearly don't want my money so I've gone somewhere else.' Direct, documented lost revenue from unanswered WhatsApp.",https://www.trustindex.io/reviews/rejuvieclinic.com (review citing WhatsApp radio silence and taking business elsewhere),Clinic owner / clinic manager,Website contact form / clinic WhatsApp listed on rejuvieclinic.com,"AI WhatsApp inquiry-responder that answers every booking message in seconds, 24/7, and hands warm leads to staff - directly fixes the exact complaint visible in their public reviews.",Reference (tactfully) that a public Trustindex review mentions a booking inquiry that went unanswered on WhatsApp and the customer went to a competitor; quantify what one lost aesthetic package per week costs.,10,bali_regional,bali-clinics
2,Propertia Bali,https://propertia.com/,"Canggu, Bali",Real estate agency (villas & land for international buyers),"Boutique agency, single Canggu office, walk-in hours Mon-Fri; ASSUMPTION: ~10-25 staff",Third-party review explicitly flags slow response times during peak season and says the agency 'could benefit from a more robust client management system' to keep inquiring clients in the loop — exactly the lead-response/follow-up gap Selena sells against.,https://godulu.com/review/real-estate-agents/propertia-bali/ (review noting slow peak-season response and recommending a stronger client management system); WhatsApp contact +62 818 0888 7711 published on https://propertia.com/contact-propertia-bali-real-estate/,Founder / Managing Director,WhatsApp +62 818 0888 7711; contact form at propertia.com/contact-propertia-bali-real-estate/,"AI lead-response agent that answers every WhatsApp/web inquiry in under 60 seconds during peak season, qualifies budget/area, and books viewings into agents' calendars — turning the documented slow-response complaint into a selling point.",Reference the public Godulu review that praises their legal support but flags peak-season response lag; position the fix as protecting an otherwise strong reputation.,10,bali_regional,bali-realestate
3,Rejuvie Dental Bali,https://rejuviedental.com,"Kuta (Jl. Dewi Sri VIII) and Sanur (Jl. Danau Tamblingan No.19), Bali","Dental clinic / dental tourism (implants, veneers, whitening)","2 locations, each with its own phone/WhatsApp number; serves Australian dental tourists","Two branches with separate WhatsApp/phone numbers (+6281 236 332 000 Kuta, +6281 222 606 088 Sanur); reviews mention communication barriers and difficulty reaching management; international patients need quote/treatment-plan responses across time zones.",https://www.trustindex.io/reviews/rejuviedental.com and https://rejuviedental.com (separate branch numbers; review complaints about communication),Owner / practice manager,Website contact form and branch WhatsApp numbers on rejuviedental.com,"One AI front-desk across both branches: instant WhatsApp replies with treatment/price info for overseas patients, routed to the right branch calendar - stop losing dental tourists who message at 11pm Sydney time.",Mention their Kuta+Sanur dual-branch setup and Australian patient base; note reviews praising the dentistry but flagging communication as the weak link.,9,bali_regional,bali-clinics
4,The Udaya Resorts & Spa,https://theudayaresort.com,"Ubud, Bali",Boutique resort & spa,Boutique luxury resort (~30 suites/villas) plus Kaveri Spa; independent property,Public Tripadvisor review literally titled 'WORST RESERVATION PROCESS ...can't fault anything else' — a guest who loved the property but was burned by the booking/communication flow. Classic case where the product is great and the reservation pipeline is the weak link.,https://www.tripadvisor.com/ShowUserReviews-g297701-d12083148-r487221411-The_Udaya_Resorts_Spa-Ubud_Gianyar_Regency_Bali.html (review title visible in search results; full text is behind Tripadvisor's bot wall),General Manager / Owner or Reservations Manager,Reservations contact form and email listed on theudaya.com; hotel front desk phone/WhatsApp on site,"AI reservation assistant that answers email/WhatsApp/OTA inquiries in minutes, confirms availability, and takes deposits — turning their one publicly-documented weakness into a strength.","Open with the exact Tripadvisor review title ('WORST RESERVATION PROCESS ...can't fault anything else') — guests love the resort, the only complaint is the booking flow, and that is precisely what we fix.",9,bali_regional,bali-hospitality
5,Savaya Bali,https://www.savaya.com/,"Uluwatu (Pecatu), Bali",Clifftop beach club / super club,"Large venue, international DJ program, VIP tables with IDR 3M-10M+ minimum spends",Independent review notes club tickets are easy to buy online but beach-club/day bookings go through 'a vague form with no pricing' where 'you must wait for a response — worse than using WhatsApp'; other reviews report confirmed VIP bookings not honored and slow follow-up.,https://bestbeachclubsbali.com/reviews/savaya-bali-review/ and https://www.tripadvisor.com/Attraction_Review-g1380108-d23242564-Reviews-Savaya_Bali-Pecatu_Bukit_Peninsula_Bali.html,Operations Director / Reservations & VIP Sales Manager,Reservation form and WhatsApp listed on savaya.com; business inquiries via site contact page,"AI table-booking concierge: instant pricing + minimum-spend quotes, deposit capture, and automated confirmations for VIP tables — recover revenue currently lost to unanswered form submissions.",Reference the bestbeachclubsbali.com review calling their booking form 'worse than using WhatsApp' for a venue of Savaya's status; they sell IDR 10M tables through a channel with no instant reply.,9,bali_regional,bali-hospitality
6,The Wonderspace (by iNi ViE Hospitality),https://thewonderspace.com/,"Canggu / Seminyak / Ubud / Uluwatu, Bali",Multi-venue restaurant & hospitality management group,"Manages 6+ venues: Shichirin (Canggu, Seminyak, Ubud), Tsune floating sushi (Uluwatu), Sanctuary Umalas, Svaha Spa, Workmates coworking","Multi-venue group taking reservations across at least six concepts in four areas — fragmented booking channels (per-venue WhatsApp, forms, walk-ins) is the classic multi-venue pain; one deal can automate the whole portfolio.",https://thewonderspace.com/brand (brand portfolio); multi-channel booking fragmentation is ASSUMPTION based on venue count,Group Operations Director / Managing Director of iNi ViE Hospitality,Contact form on thewonderspace.com; Instagram @wonderspaceid,"One AI guest-communication layer across all Wonderspace venues: unified WhatsApp reservations, upsell of teppanyaki seatings and spa slots, cross-venue guest CRM.","Name their specific brands (Shichirin x3, Tsune, Sanctuary, Svaha Spa) and pitch a single system instead of six separate reservation inboxes; as a management company they can also resell it to client venues.",9,bali_regional,bali-hospitality
7,Kibarer Property,https://www.villabalisale.com/,"Seminyak / Berawa, Bali (3 offices)","Real estate agency & developer (luxury villas, land)","1,000-1,500+ active listings, 3 offices, in-house lawyers and notaries; established 2009","Enormous listing volume (1,500+ villas) means huge inbound inquiry flow across web, Instagram, and WhatsApp; keeping listing content, follow-up sequences, and agent routing current at that scale is manual-labor heavy.","https://www.villabalisale.com/ and https://www.villabalisale.com/our-story (1000+ listings, 3 offices, operating since 2009)",Owner / General Manager,Website contact form and phone/WhatsApp published on villabalisale.com,"Listing-content automation (auto-generated descriptions, translations, portal syndication for 1,500+ listings) plus AI inquiry triage that routes buyers to the right agent instantly.","Cite their 16-year track record and 1,500+ listing inventory; ask how many inquiries per listing go unanswered during high season across their 3 offices.",9,bali_regional,bali-realestate
8,Bali Home Immo,https://bali-home-immo.com/,"Canggu (Berawa), Bali","Real estate agency (sales & rentals, Canggu/Seminyak/Uluwatu/Sanur/Ubud)","Portfolio of 7,000+ properties since 2009; licensed SIUP-P4 agency; ASSUMPTION: 20-40 staff",One of the highest listing volumes in Canggu with a 'fill out the form and we'll get back to you' inbound model — classic delayed first-response funnel for international buyers in other time zones.,"https://bali-home-immo.com/ and https://bali-home-immo.com/company-presentation (13+ years, 7,000+ property portfolio); balidoneright.com round-up notes the 7,000+ portfolio",Founder / Sales Director,"Contact form at bali-home-immo.com/contact; office at Jl. Subak Sari No.2c, Berawa, Canggu","24/7 AI first-responder for form and WhatsApp leads (buyers inquire from Europe/Australia overnight), plus CRM follow-up automation so no lead older than 5 minutes goes untouched.","Note they were one of the first agencies in Canggu (2009) and that a 7,000-property portfolio deserves better than a 'we will get back to you shortly' form experience.",9,bali_regional,bali-realestate
9,Betterplace,https://betterplace.cc/,"Berawa Beach, Canggu, Bali","Property sales agency, villa rentals & property management",Head office over 2 floors in Berawa; founded 2018; multiple open roles; ASSUMPTION: 30-60 staff,"Actively hiring 'Direct Reservation Sales' whose job description is literally managing guest inquiries and converting leads into bookings across channels, plus 'Property Management Sales' for lead generation — they are throwing headcount at a lead-response problem AI can absorb.",https://betterplace.cc/careers (Direct Reservation Sales and Property Management Sales openings; role described as managing inquiries and converting leads); also listed on https://www.hhrmabali.com/company/betterplace-property/,Founder/CEO (Mark Ostrovsky per public LinkedIn) or Head of Sales,Contact form on betterplace.cc; company LinkedIn https://www.linkedin.com/company/thebetterplace,"Before hiring another reservation-sales seat, deploy an AI inquiry agent that handles first response, qualification, and viewing/booking scheduling — one $5-10k build vs. a recurring salary.","Reference their self-described 'IT-backed approach' to property management and their live Direct Reservation Sales vacancy — they already believe in tech, this is the next step.",9,bali_regional,bali-realestate
10,Bali Familia Villa Management (PT Bali Familia Villa Management),https://balifamiliavillamanagement.com/,"Seminyak / Canggu / Legian / Kerobokan, Badung, Bali",Villa management (daily holiday rental property management for owners),"unknown (locally owned, licensed PT; multiple villas across 4+ areas per site)","Public contact is a phone number with office hours Mon-Fri 9:00am-6:00pm, while holiday-rental guests and OTA leads arrive 24/7 and on weekends; bookings and daily ops handled by an in-house team with no visible booking engine.",https://balifamiliavillamanagement.com/ (site lists phone (+62) 822 3074 2545 and Mon-Fri 9-6 hours per search snippet); after-hours lead-loss impact is ASSUMPTION,Owner / Director (locally owned PT),Website contact form at balifamiliavillamanagement.com; public phone (+62) 822 3074 2545; Facebook page 'PT Bali Familia Villa Management',"AI lead-response agent that answers booking inquiries instantly outside their Mon-Fri 9-6 office hours, so weekend and evening OTA/WhatsApp leads stop going cold before a human replies.",Reference their listed office hours (Mon-Fri 9am-6pm) vs. the reality that Seminyak/Canggu holiday bookers message at all hours - offer to be their 24/7 first responder without adding headcount.,9,bali_regional,bali-villas
